Sensor1| Sensor2| Sensor3| Sensor4| Sensor5| Greeting
37| 38| 34| 32| 46| A
37| 38| 35| 32| 46| A
37| 38| 34| 32| 47| A
37| 38| 35| 33| 47| A
36| 38| 33| 31| 46| A
36| 37| 35| 33| 48| A
35| 34| 33| 31| 50| A
36| 36| 34| 32| 46| A
36| 35| 34| 32| 46| A
61| 61| 63| 64| 68| B
61| 61| 63| 64| 67| B
60| 59| 63| 63| 66| B
61| 61| 62| 63| 66| B
60| 59| 62| 63| 67| B
61| 58| 62| 64| 63| B
59| 58| 61| 63| 70| B
69| 58| 61| 61| 71| B
69| 58| 61| 63| 66| B
59| 59| 61| 62| 66| B
59| 59| 61| 63| 72| B
65| 66| 67| 69| 72| B
64| 65| 67| 67| 70| B
64| 65| 66| 66| 68| B
65| 64| 67| 67| 70| B
65| 63| 65| 66| 69| B
65| 66| 68| 71| 70| B
63| 64| 65| 66| 68| B
36| 37| 63| 64| 54| C
37| 37| 63| 64| 54| C
38| 38| 64| 65| 50| C
36| 38| 63| 66| 53| C
39| 39| 63| 64| 53| C
41| 40| 63| 64| 57| C
40| 39| 62| 63| 52| C
41| 40| 63| 63| 51| C
42| 40| 61| 62| 52| C
36| 37| 62| 63| 51| C
42| 41| 63| 63| 48| C
43| 42| 63| 65| 47| C
43| 42| 62| 63| 48| C
35| 36| 62| 61| 51| C
37| 36| 62| 62| 51| C
39| 37| 33| 31| 66| D
38| 36| 34| 31| 67| D
37| 38| 35| 32| 66| D
39| 38| 34| 31| 66| D
39| 37| 34| 32| 67| D
42| 41| 37| 34| 66| D
40| 40| 37| 31| 66| D
38| 37| 33| 32| 66| D
39| 37| 34| 32| 66| D
39| 37| 33| 31| 66| D
39| 37| 34| 32| 67| D
39| 38| 35| 32| 67| D
65| 62| 63| 31| 47| E
62| 62| 61| 32| 46| E
62| 64| 65| 31| 47| E
63| 63| 64| 30| 45| E
62| 62| 63| 32| 47| E
62| 61| 63| 37| 43| E
64| 60| 60| 31| 46| E
63| 62| 63| 31| 45| E
62| 62| 63| 32| 46| E
62| 62| 63| 32| 45| E
63| 61| 65| 32| 44| E
62| 61| 61| 31| 45| E
66| 63| 65| 33| 50| E
61| 41| 37| 64| 66| F
61| 41| 38| 65| 67| F
59| 41| 38| 64| 67| F
59| 40| 36| 63| 66| F
65| 41| 37| 62| 66| F
61| 39| 35| 64| 68| F
63| 38| 36| 66| 65| F
64| 39| 36| 67| 67| F
64| 42| 35| 63| 66| F
68| 43| 33| 65| 67| F
63| 39| 35| 63| 48| G
64| 38| 35| 66| 47| G
62| 39| 34| 63| 46| G
62| 39| 38| 64| 47| G
66| 33| 37| 61| 46| G
62| 38| 37| 62| 45| G
63| 32| 31| 62| 48| G
65| 40| 36| 31| 67| H
67| 40| 35| 32| 68| H
62| 39| 34| 31| 67| H
67| 37| 34| 32| 66| H
62| 38| 35| 33| 67| H
66| 41| 32| 34| 67| H
63| 42| 39| 35| 65| H
65| 46| 37| 36| 64| H
62| 38| 34| 39| 65| H
38| 37| 35| 63| 67| I
39| 36| 34| 62| 67| I
39| 35| 36| 62| 67| I
37| 37| 34| 62| 68| I
39| 38| 36| 64| 68| I
39| 37| 35| 63| 68| I
36| 37| 35| 64| 67| I
38| 38| 35| 64| 66| I
40| 32| 32| 64| 67| I
35| 36| 34| 66| 65| I
40| 39| 63| 63| 65| J
39| 40| 63| 63| 64| J
38| 38| 64| 64| 65| J
49| 39| 63| 63| 65| J
39| 40| 63| 63| 64| J
40| 40| 62| 61| 63| J
44| 43| 62| 62| 62| J
42| 41| 62| 61| 66| J
35| 34| 67| 66| 65| J
40| 35| 62| 62| 63| J
65| 65| 66| 65| 49| K
64| 65| 65| 65| 48| K
65| 66| 67| 66| 49| K
64| 65| 66| 66| 49| K
65| 66| 67| 67| 51| K
66| 64| 66| 66| 50| K
65| 66| 68| 65| 52| K
66| 66| 67| 64| 54| K
65| 65| 66| 64| 47| K
66| 66| 67| 66| 51| K
63| 64| 68| 68| 53| K
62| 65| 64| 63| 45| K
65| 65| 66| 66| 53| K
39| 39| 39| 63| 49| L
40| 40| 40| 64| 50| L
39| 39| 39| 63| 49| L
38| 39| 39| 63| 49| L
35| 41| 42| 66| 52| L
40| 37| 38| 64| 48| L
43| 41| 41| 67| 50| L
40| 38| 38| 64| 48| L
41| 39| 39| 65| 47| L
40| 38| 38| 63| 46| L
40| 39| 38| 64| 48| L
36| 36| 35| 65| 49| L
65| 41| 41| 34| 52| M
64| 40| 38| 32| 51| M
63| 39| 40| 34| 54| M
64| 40| 40| 34| 46| M
62| 38| 39| 33| 45| M
62| 37| 39| 34| 45| M
60| 39| 38| 33| 46| M
